arc,orig,dest,cost
1,1,107,7.0
2,1,159,6.0
3,2,19,9.0
4,2,21,2.0
5,2,56,5.0
6,2,57,3.0
7,2,60,6.0
8,2,71,7.0
9,2,115,8.0
10,2,151,4.0
11,2,153,2.0
12,2,157,9.0
13,2,162,3.0
14,3,92,9.0
15,3,112,10.0
16,3,144,3.0
17,3,171,1.0
18,3,179,4.0
19,4,18,5.0
20,4,52,3.0
21,4,63,4.0
22,4,91,3.0
23,4,95,7.0
24,4,108,2.0
25,4,123,8.0
26,4,125,2.0
27,4,131,9.0
28,4,134,11.0
29,4,143,8.0
30,4,145,10.0
31,4,148,11.0
32,5,53,2.0
33,5,77,10.0
34,5,81,4.0
35,5,107,1.0
36,5,110,3.0
37,5,132,7.0
38,5,138,5.0
39,5,149,0.4462004345664064
40,5,159,0.4266914414416353
41,5,164,0.14906247553341012
42,6,31,0.0854259864839076
43,6,55,0.31781860172285725
44,6,64,0.45560662336539964
45,6,85,0.2114850358948216
46,6,104,0.3969377140400761
47,6,116,0.41635631141035273
48,6,133,0.24415760507715573
49,6,135,0.10551786949205323
50,6,142,0.437403390718305
51,6,160,0.38558788976989644
52,6,178,0.11229997623633642
53,7,33,0.33233387503496115
54,7,54,0.4785939645253595
55,7,73,0.38319599223092987
56,7,74,0.4356810646967011
57,7,79,0.4588848318569393
58,7,83,0.3681470251503239
59,7,97,0.04198327656852221
60,7,101,0.48644335380355785
61,7,114,0.1263941957276452
62,7,126,0.3105843283308104
63,8,16,0.19381996096190104
64,8,18,0.10588120780552362
65,8,24,0.4124414326213201
66,8,50,0.4761717574958793
67,8,52,0.18177742932853863
68,8,63,0.43760841825657754
69,8,73,0.3786596915512503
70,8,91,0.1252090984953947
71,8,95,0.2190728131477511
72,8,108,0.12699596146120692
73,8,125,0.05585233885403088
74,8,143,0.3987891835837174
75,8,158,0.27999335846044243
76,8,176,0.4165367733368605
77,9,10,0.44690269603237387
78,9,29,0.3146514973871534
79,9,49,0.21373958206809626
80,9,75,0.1080592839223511
81,9,111,0.4628560217901335
82,9,112,0.2608378193133076
83,9,173,0.322149255477103
84,10,9,0.491630772885634
85,10,29,0.3750549232695854
86,10,50,0.48246746044005173
87,10,75,0.20137818363185353
88,10,158,0.20674065804814543
89,10,173,0.3624631532331845
90,11,36,0.16758043739620473
91,11,43,0.355151587944102
92,11,67,0.21176880866887143
93,11,78,0.313621815539484
94,11,80,0.4685674609323683
95,11,82,0.4144446454576373
96,11,86,0.2023006699567306
97,11,90,0.5124144353320101
98,11,103,0.35172506687526595
99,11,152,0.3768454409066848
100,11,168,0.12012350141414953
101,12,13,0.4994563813149518
102,12,14,0.08286879761891167
103,12,17,0.25236174022230884
104,12,23,0.452106678481844
105,12,36,0.2037677606461888
106,12,39,0.12129572340962448
107,12,58,0.10692307331382407
108,12,59,0.17567995646076143
109,12,65,0.3040240382208413
110,12,66,0.446172424891955
111,12,82,0.2777686507843724
112,12,121,0.48613221726694844
113,12,152,0.31637629645783677
114,12,154,0.43826622192566717
115,12,156,0.4480352510672719
116,12,167,0.25658367514454467
117,12,172,0.33452495548868016
118,13,12,0.45325530491927263
119,13,23,0.33219107332909215
120,13,39,0.37228966618947745
121,13,46,0.10766379637255195
122,13,65,0.05691625828008331
123,13,121,0.2742572991045045
124,13,167,0.1819425594134624
125,14,12,0.45766057682016004
126,14,36,0.2826654685996091
127,14,43,0.40817073852380203
128,14,58,0.25182318075940735
129,14,62,0.4081778208079102
130,14,66,0.3995214537901714
131,14,78,0.30267864103871117
132,14,82,0.34931358405380414
133,14,105,0.5107615550822862
134,14,127,0.30758812297147026
135,14,129,0.3214540413219398
136,14,152,0.44992310704806737
137,14,154,0.1950536483389589
138,14,156,0.3155427176320031
139,14,161,0.4240460444374426
140,14,168,0.2488066323027096
141,14,172,0.10599392538271604
142,15,21,0.4857016102732751
143,15,27,0.5025993541871634
144,15,32,0.158851090787246
145,15,35,0.3342407150703462
146,15,40,0.46076577066064883
147,15,42,0.45523526391981994
148,15,69,0.19269762968618626
149,15,70,0.33497846976839113
150,15,94,0.30816394356833227
151,15,96,0.1918787752082885
152,15,115,0.4243270368890114
153,15,117,0.44026747687131484
154,15,120,0.19092909686870085
155,15,123,0.2965910034680157
156,15,141,0.3734252489611963
157,15,146,0.3731330537916445
158,15,157,0.3653825780909298
159,15,166,0.284868028262702
160,15,177,0.2790205285926273
161,16,8,0.3071769030974568
162,16,24,0.331044017814782
163,16,50,0.2593399200889538
164,16,73,0.4948033103588115
165,16,108,0.3858367922114305
166,16,118,0.446937067284097
167,16,125,0.21060329351187987
168,16,143,0.12473706818273819
169,16,176,0.41142144409491865
170,17,12,0.30447540592257094
171,17,23,0.2499939998259522
172,17,36,0.49915255130030034
173,17,39,0.4304874652912793
174,17,58,0.10655874500634273
175,17,59,0.31303518823710597
176,17,61,0.5313320291378357
177,17,66,0.3469357314651077
178,17,82,0.25069140759020575
179,17,121,0.18929784623267099
180,17,152,0.4972443473494324
181,17,154,0.49330722010470135
182,17,156,0.295203259964759
183,17,172,0.14614650528956327
184,18,4,0.3184124080182691
185,18,8,0.4621123391959212
186,18,24,0.43891362570808323
187,18,63,0.2921007858563183
188,18,91,0.04149619271554264
189,18,124,0.4071492940444837
190,18,125,0.48238904939278965
191,18,131,0.4635807924957838
192,18,134,0.4118484156375484
193,18,143,0.46230397148189833
194,18,145,0.25030659283100826
195,18,148,0.2037127523728835
196,18,174,0.19144362483278746
197,19,2,0.06607637776177623
198,19,51,0.40221619792334584
199,19,56,0.4409230104940085
200,19,57,0.49581241643051877
201,19,60,0.42217118666780773
202,19,71,0.32892340089808664
203,19,98,0.44438175573882877
204,19,128,0.42939876022741424
205,19,136,0.35130757447273325
206,19,151,0.19145287474085082
207,19,155,0.12968414230355518
208,19,162,0.22933478446585076
209,20,27,0.23875041175462328
210,20,35,0.48520871120796544
211,20,42,0.3382855286991154
212,20,94,0.2306160159814371
213,20,102,0.44221290959543896
214,20,113,0.0656475705920185
215,20,123,0.13518455482632613
216,20,131,0.33006675437755245
217,20,141,0.3638445338659619
218,20,145,0.49351314294235826
219,20,150,0.43171397059016975
220,21,2,0.33308841801306305
221,21,15,0.4906729722039393
222,21,40,0.35096547440573655
223,21,69,0.34988193132133527
224,21,70,0.40037867442644914
225,21,96,0.2226032259298323
226,21,115,0.3455017743351482
227,21,117,0.1032851200749234
228,21,120,0.5154620810274064
229,21,153,0.4466196777364201
230,21,157,0.05306858034801963
231,21,166,0.5042013542023962
232,21,177,0.4390202142375961
233,22,67,0.2356336352448161
234,22,87,0.3745287183114998
235,22,90,0.10675019227676645
236,22,103,0.4916652432653201
237,23,12,0.052396971032977496
238,23,13,0.4971911489431037
239,23,17,0.5199150650676145
240,23,39,0.14393044748457817
241,23,58,0.2387673277105387
242,23,65,0.3890079049049283
243,23,66,0.134453496261588
244,23,121,0.15939723417860283
245,23,154,0.4056455916798635
246,23,156,0.43110694838470776
247,23,167,0.4845966574542015
248,23,172,0.433060952456645
249,24,8,0.49952555303202906
250,24,16,0.15031428012177409
251,24,18,0.38293572734598624
252,24,50,0.25610728889753837
253,24,63,0.11773713976636846
254,24,91,0.09684285868831785
255,24,108,0.37356199227253
256,24,125,0.23692077311509874
257,24,143,0.37205539306339025
258,24,158,0.44719706272572085
259,24,174,0.4942207403852643
260,25,47,0.38113126077669596
261,25,140,0.36406048819310116
262,25,147,0.35280014381230185
263,25,169,0.48067722304576055
264,25,170,0.3263807771444219
265,25,180,0.3365114597571061
266,26,85,0.3406275794404227
267,26,99,0.47901387064837
268,26,102,0.2744664599449284
269,26,113,0.4659216490693856
270,26,133,0.5126872422694523
271,26,142,0.45141536297312046
272,26,150,0.183825518855204
273,26,175,0.06332205923106028
274,27,15,0.2548213226798538
275,27,20,0.4395408045510845
276,27,32,0.47345635345528436
277,27,35,0.2851337336204348
278,27,40,0.1728350413751016
279,27,42,0.20261293690485374
280,27,69,0.4462897070214255
281,27,70,0.1753882517091602
282,27,94,0.47707722625861104
283,27,96,0.5009060910281495
284,27,113,0.18455366379652327
285,27,117,0.4762674319674022
286,27,120,0.18783768084471106
287,27,123,0.45250471478857224
288,27,131,0.38391245317988487
289,27,141,0.2688464850822194
290,27,145,0.49621824487818317
291,27,146,0.27013919760506655
292,27,150,0.3485900162490458
293,27,177,0.29055948346080773
294,28,38,0.43049586205566476
295,28,44,0.23023960212726333
296,28,49,0.3643605346316241
297,28,75,0.05297385065317861
298,28,76,0.05203574100553952
299,28,100,0.5136454251675657
300,28,111,0.4883685135346927
301,28,112,0.37174654174341887
302,28,124,0.06286163475353639
303,28,174,0.18637127562401798
304,29,9,0.13218677521955158
305,29,10,0.11983164566860038
306,29,49,0.3423109103764371
307,29,75,0.2699343000840289
308,29,111,0.20345207653769135
309,29,112,0.2883757505080832
310,29,158,0.34783898844756567
311,29,173,0.4478381041455506
312,29,174,0.3543485001153091
313,30,37,0.49835036090614654
314,30,72,0.16013870396640803
315,30,87,0.10015813147194891
316,30,88,0.3616553219204683
317,30,89,0.33786546276507146
318,30,109,0.1952576700924385
319,30,110,0.4592183744434046
320,30,132,0.41052227703667865
