arc,orig,dest,cost
1,1,53,7.0
2,1,86,6.0
3,1,87,9.0
4,1,93,2.0
5,2,4,5.0
6,2,37,3.0
7,2,53,6.0
8,2,62,7.0
9,2,65,8.0
10,2,68,4.0
11,2,86,2.0
12,2,87,9.0
13,2,93,3.0
14,2,124,9.0
15,2,159,10.0
16,3,6,3.0
17,3,27,1.0
18,3,63,4.0
19,3,74,5.0
20,3,75,3.0
21,3,77,4.0
22,3,81,3.0
23,3,83,7.0
24,3,84,2.0
25,3,90,8.0
26,3,97,2.0
27,3,100,9.0
28,3,120,11.0
29,3,127,8.0
30,3,130,10.0
31,3,137,11.0
32,3,142,2.0
33,4,2,10.0
34,4,37,4.0
35,4,61,1.0
36,4,62,3.0
37,4,65,7.0
38,4,68,5.0
39,4,86,0.4462004345664064
40,4,124,0.4266914414416353
41,4,154,0.14906247553341012
42,5,12,0.0854259864839076
43,5,19,0.31781860172285725
44,5,31,0.45560662336539964
45,5,33,0.2114850358948216
46,5,40,0.3969377140400761
47,5,57,0.41635631141035273
48,5,73,0.24415760507715573
49,5,79,0.10551786949205323
50,5,104,0.437403390718305
51,5,113,0.38558788976989644
52,5,116,0.11229997623633642
53,5,117,0.33233387503496115
54,5,118,0.4785939645253595
55,5,119,0.38319599223092987
56,5,125,0.4356810646967011
57,5,132,0.4588848318569393
58,5,135,0.3681470251503239
59,5,141,0.04198327656852221
60,5,148,0.48644335380355785
61,5,157,0.1263941957276452
62,6,3,0.3105843283308104
63,6,27,0.19381996096190104
64,6,63,0.10588120780552362
65,6,75,0.4124414326213201
66,6,97,0.4761717574958793
67,6,108,0.18177742932853863
68,6,127,0.43760841825657754
69,6,130,0.3786596915512503
70,6,142,0.1252090984953947
71,6,145,0.2190728131477511
72,6,150,0.12699596146120692
73,7,9,0.05585233885403088
74,7,15,0.3987891835837174
75,7,33,0.27999335846044243
76,7,44,0.4165367733368605
77,7,50,0.44690269603237387
78,7,51,0.3146514973871534
79,7,58,0.21373958206809626
80,7,60,0.1080592839223511
81,7,66,0.4628560217901335
82,7,88,0.2608378193133076
83,7,91,0.322149255477103
84,7,92,0.491630772885634
85,7,117,0.3750549232695854
86,7,119,0.48246746044005173
87,7,134,0.20137818363185353
88,7,135,0.20674065804814543
89,7,144,0.3624631532331845
90,7,151,0.16758043739620473
91,7,155,0.355151587944102
92,8,28,0.21176880866887143
93,8,122,0.313621815539484
94,8,147,0.4685674609323683
95,9,7,0.4144446454576373
96,9,33,0.2023006699567306
97,9,40,0.5124144353320101
98,9,44,0.35172506687526595
99,9,51,0.3768454409066848
100,9,58,0.12012350141414953
101,9,60,0.4994563813149518
102,9,66,0.08286879761891167
103,9,85,0.25236174022230884
104,9,88,0.452106678481844
105,9,91,0.2037677606461888
106,9,92,0.12129572340962448
107,9,104,0.10692307331382407
108,9,113,0.17567995646076143
109,9,117,0.3040240382208413
110,9,119,0.446172424891955
111,9,134,0.2777686507843724
112,9,135,0.48613221726694844
113,9,141,0.31637629645783677
114,9,144,0.43826622192566717
115,9,151,0.4480352510672719
116,9,155,0.25658367514454467
117,10,16,0.33452495548868016
118,10,41,0.45325530491927263
119,10,42,0.33219107332909215
120,10,47,0.37228966618947745
121,10,95,0.10766379637255195
122,10,96,0.05691625828008331
123,10,110,0.2742572991045045
124,10,160,0.1819425594134624
125,11,26,0.45766057682016004
126,11,44,0.2826654685996091
127,11,48,0.40817073852380203
128,11,56,0.25182318075940735
129,11,58,0.4081778208079102
130,11,66,0.3995214537901714
131,11,76,0.30267864103871117
132,11,78,0.34931358405380414
133,11,85,0.5107615550822862
134,11,88,0.30758812297147026
135,11,91,0.3214540413219398
136,11,92,0.44992310704806737
137,11,114,0.1950536483389589
138,11,129,0.3155427176320031
139,11,151,0.4240460444374426
140,11,155,0.2488066323027096
141,12,5,0.10599392538271604
142,12,13,0.4857016102732751
143,12,40,0.5025993541871634
144,12,57,0.158851090787246
145,12,73,0.3342407150703462
146,12,84,0.46076577066064883
147,12,90,0.45523526391981994
148,12,99,0.19269762968618626
149,12,101,0.33497846976839113
150,12,106,0.30816394356833227
151,12,107,0.1918787752082885
152,12,117,0.4243270368890114
153,12,118,0.44026747687131484
154,12,119,0.19092909686870085
155,12,148,0.2965910034680157
156,12,152,0.3734252489611963
157,12,156,0.3731330537916445
158,13,12,0.3653825780909298
159,13,25,0.284868028262702
160,13,27,0.2790205285926273
161,13,35,0.3071769030974568
162,13,38,0.331044017814782
163,13,101,0.2593399200889538
164,13,105,0.4948033103588115
165,13,107,0.3858367922114305
166,13,108,0.446937067284097
167,13,118,0.21060329351187987
168,13,130,0.12473706818273819
169,13,146,0.41142144409491865
170,13,150,0.30447540592257094
171,13,152,0.2499939998259522
172,13,156,0.49915255130030034
173,14,71,0.4304874652912793
174,14,76,0.10655874500634273
175,14,82,0.31303518823710597
176,14,131,0.5313320291378357
177,15,7,0.3469357314651077
178,15,29,0.25069140759020575
179,15,32,0.18929784623267099
180,15,45,0.4972443473494324
181,15,50,0.49330722010470135
182,15,55,0.295203259964759
183,15,60,0.14614650528956327
184,15,74,0.3184124080182691
185,15,77,0.4621123391959212
186,15,81,0.43891362570808323
187,15,84,0.2921007858563183
188,15,89,0.04149619271554264
189,15,90,0.4071492940444837
190,15,99,0.48238904939278965
191,15,100,0.4635807924957838
192,15,103,0.4118484156375484
193,15,106,0.46230397148189833
194,15,119,0.25030659283100826
195,15,120,0.2037127523728835
196,15,135,0.19144362483278746
197,15,144,0.06607637776177623
198,16,10,0.40221619792334584
199,16,42,0.4409230104940085
200,16,47,0.49581241643051877
201,16,95,0.42217118666780773
202,16,96,0.32892340089808664
203,16,110,0.44438175573882877
204,16,160,0.42939876022741424
205,17,20,0.35130757447273325
206,17,32,0.19145287474085082
207,17,45,0.12968414230355518
208,17,50,0.22933478446585076
209,17,59,0.23875041175462328
210,17,66,0.48520871120796544
211,17,80,0.3382855286991154
212,17,89,0.2306160159814371
213,17,103,0.44221290959543896
214,17,129,0.0656475705920185
215,17,131,0.13518455482632613
216,17,139,0.33006675437755245
217,17,140,0.3638445338659619
218,17,151,0.49351314294235826
219,18,34,0.43171397059016975
220,18,46,0.33308841801306305
221,18,47,0.4906729722039393
222,18,52,0.35096547440573655
223,18,102,0.34988193132133527
224,18,109,0.40037867442644914
225,18,115,0.2226032259298323
226,18,123,0.3455017743351482
227,18,136,0.1032851200749234
228,19,5,0.5154620810274064
229,19,31,0.4466196777364201
230,19,33,0.05306858034801963
231,19,40,0.5042013542023962
232,19,73,0.4390202142375961
233,19,104,0.2356336352448161
234,19,113,0.3745287183114998
235,19,116,0.10675019227676645
236,19,123,0.4916652432653201
237,19,125,0.052396971032977496
238,19,136,0.4971911489431037
239,19,141,0.5199150650676145
240,19,157,0.14393044748457817
241,19,158,0.2387673277105387
242,20,17,0.3890079049049283
243,20,29,0.134453496261588
244,20,32,0.15939723417860283
245,20,45,0.4056455916798635
246,20,50,0.43110694838470776
247,20,59,0.4845966574542015
248,20,80,0.433060952456645
249,20,89,0.49952555303202906
250,20,103,0.15031428012177409
251,20,139,0.38293572734598624
252,20,140,0.25610728889753837
253,21,28,0.11773713976636846
254,21,49,0.09684285868831785
255,21,80,0.37356199227253
256,21,126,0.23692077311509874
257,21,133,0.37205539306339025
258,21,138,0.44719706272572085
259,22,43,0.4942207403852643
260,22,64,0.38113126077669596
261,22,79,0.36406048819310116
262,22,109,0.35280014381230185
263,22,112,0.48067722304576055
264,22,128,0.3263807771444219
265,22,132,0.3365114597571061
266,23,36,0.3406275794404227
267,23,48,0.47901387064837
268,23,56,0.2744664599449284
