arc,orig,dest,cost
1,1,81,7
2,1,97,6
3,2,10,9
4,2,35,2
5,2,37,5
6,2,47,3
7,2,50,6
8,2,63,7
9,2,66,8
10,2,73,4
11,2,76,2
12,2,77,9
13,2,79,3
14,2,87,9
15,2,91,10
16,3,28,3
17,3,35,1
18,3,36,4
19,3,37,5
20,3,66,3
21,3,73,4
22,3,77,3
23,3,79,7
24,3,91,2
25,3,94,8
26,3,97,2
27,4,15,9
28,4,30,11
29,4,34,8
30,4,38,10
31,4,40,11
32,4,43,2
33,4,52,10
34,4,58,4
35,5,20,1
36,5,23,3
37,5,49,7
38,5,53,5
39,5,71,0.4462004345664064
40,5,72,0.4266914414416353
41,5,90,0.14906247553341012
42,6,9,0.0854259864839076
43,6,21,0.31781860172285725
44,6,25,0.45560662336539964
45,6,29,0.2114850358948216
46,6,46,0.3969377140400761
47,6,51,0.41635631141035273
48,6,92,0.24415760507715573
49,6,99,0.10551786949205323
50,7,18,0.437403390718305
51,7,19,0.38558788976989644
52,7,28,0.11229997623633642
53,7,42,0.33233387503496115
54,7,48,0.4785939645253595
55,7,65,0.38319599223092987
56,7,89,0.4356810646967011
57,7,96,0.4588848318569393
58,8,13,0.3681470251503239
59,8,16,0.04198327656852221
60,8,31,0.48644335380355785
61,8,32,0.1263941957276452
62,8,33,0.3105843283308104
63,8,39,0.19381996096190104
64,8,70,0.10588120780552362
65,8,74,0.4124414326213201
66,8,83,0.4761717574958793
67,8,86,0.18177742932853863
68,8,93,0.43760841825657754
69,8,98,0.3786596915512503
70,9,6,0.1252090984953947
71,9,21,0.2190728131477511
72,9,24,0.12699596146120692
73,9,26,0.05585233885403088
74,9,29,0.3987891835837174
75,9,46,0.27999335846044243
76,9,51,0.4165367733368605
77,9,54,0.44690269603237387
78,9,89,0.3146514973871534
79,9,92,0.21373958206809626
80,9,96,0.1080592839223511
81,9,99,0.4628560217901335
82,10,2,0.2608378193133076
83,10,28,0.322149255477103
84,10,35,0.491630772885634
