arc,orig,dest,cost
1,1,6,7
2,1,10,6
3,1,26,9
4,1,27,2
5,1,28,5
6,1,30,3
7,1,31,6
8,1,34,7
9,2,4,8
10,2,5,4
11,2,6,2
12,2,8,9
13,2,9,3
14,2,10,9
15,2,12,10
16,2,13,3
17,2,14,1
18,2,15,4
19,2,16,5
20,2,17,3
21,2,18,4
22,2,22,3
23,2,24,7
24,2,25,2
25,2,27,8
26,2,28,2
27,2,29,9
28,2,31,11
29,2,34,8
30,2,35,10
31,2,36,11
32,2,37,2
33,3,4,10
34,3,5,4
35,3,7,1
36,3,8,3
37,3,11,7
38,3,13,5
39,3,14,0.4462004345664064
40,3,15,0.4266914414416353
41,3,16,0.14906247553341012
42,3,18,0.0854259864839076
43,3,19,0.31781860172285725
44,3,21,0.45560662336539964
45,3,22,0.2114850358948216
46,3,25,0.3969377140400761
47,3,33,0.41635631141035273
48,3,36,0.24415760507715573
49,3,37,0.10551786949205323
50,3,38,0.437403390718305
51,4,2,0.38558788976989644
52,4,3,0.11229997623633642
53,4,5,0.33233387503496115
54,4,6,0.4785939645253595
55,4,8,0.38319599223092987
56,4,11,0.4356810646967011
57,4,12,0.4588848318569393
58,4,13,0.3681470251503239
59,4,14,0.04198327656852221
60,4,15,0.48644335380355785
61,4,16,0.1263941957276452
62,4,17,0.3105843283308104
63,4,18,0.19381996096190104
64,4,21,0.10588120780552362
65,4,22,0.4124414326213201
66,4,24,0.4761717574958793
67,4,25,0.18177742932853863
68,4,27,0.43760841825657754
69,4,29,0.3786596915512503
70,4,33,0.1252090984953947
71,4,35,0.2190728131477511
72,4,36,0.12699596146120692
73,4,37,0.05585233885403088
74,5,2,0.3987891835837174
75,5,3,0.27999335846044243
76,5,4,0.4165367733368605
77,5,7,0.44690269603237387
78,5,8,0.3146514973871534
79,5,13,0.21373958206809626
80,5,14,0.1080592839223511
81,5,16,0.4628560217901335
82,5,17,0.2608378193133076
83,5,18,0.322149255477103
84,5,19,0.491630772885634
85,5,20,0.3750549232695854
86,5,22,0.48246746044005173
87,5,23,0.20137818363185353
88,5,24,0.20674065804814543
89,5,25,0.3624631532331845
90,5,32,0.16758043739620473
91,5,33,0.355151587944102
92,5,35,0.21176880866887143
93,6,1,0.313621815539484
94,6,2,0.4685674609323683
95,6,4,0.4144446454576373
96,6,8,0.2023006699567306
97,6,9,0.5124144353320101
98,6,10,0.35172506687526595
99,6,12,0.3768454409066848
100,6,13,0.12012350141414953
101,6,14,0.4994563813149518
102,6,15,0.08286879761891167
103,6,16,0.25236174022230884
104,6,17,0.452106678481844
105,6,18,0.2037677606461888
106,6,22,0.12129572340962448
107,6,25,0.10692307331382407
108,6,26,0.17567995646076143
109,6,27,0.3040240382208413
110,6,28,0.446172424891955
111,6,29,0.2777686507843724
112,6,30,0.48613221726694844
113,6,31,0.31637629645783677
114,6,34,0.43826622192566717
115,6,36,0.4480352510672719
116,6,37,0.25658367514454467
117,7,3,0.33452495548868016
118,7,5,0.45325530491927263
119,7,19,0.33219107332909215
120,7,20,0.37228966618947745
121,7,23,0.10766379637255195
122,7,24,0.05691625828008331
123,7,25,0.2742572991045045
124,7,33,0.1819425594134624
125,7,40,0.45766057682016004
126,8,2,0.2826654685996091
127,8,3,0.40817073852380203
128,8,4,0.25182318075940735
129,8,5,0.4081778208079102
130,8,6,0.3995214537901714
131,8,9,0.30267864103871117
132,8,10,0.34931358405380414
133,8,11,0.5107615550822862
134,8,12,0.30758812297147026
135,8,13,0.3214540413219398
136,8,14,0.44992310704806737
137,8,15,0.1950536483389589
138,8,16,0.3155427176320031
139,8,17,0.4240460444374426
140,8,18,0.2488066323027096
141,8,22,0.10599392538271604
142,8,25,0.4857016102732751
143,8,27,0.5025993541871634
144,8,28,0.158851090787246
145,8,29,0.3342407150703462
146,8,31,0.46076577066064883
147,8,34,0.45523526391981994
148,8,35,0.19269762968618626
149,8,36,0.33497846976839113
150,8,37,0.30816394356833227
151,9,2,0.1918787752082885
152,9,6,0.4243270368890114
153,9,8,0.44026747687131484
154,9,10,0.19092909686870085
155,9,12,0.2965910034680157
156,9,16,0.3734252489611963
157,9,17,0.3731330537916445
158,9,28,0.3653825780909298
159,9,32,0.284868028262702
160,9,34,0.2790205285926273
161,9,35,0.3071769030974568
162,10,1,0.331044017814782
163,10,2,0.2593399200889538
164,10,6,0.4948033103588115
165,10,8,0.3858367922114305
166,10,9,0.446937067284097
167,10,12,0.21060329351187987
168,10,13,0.12473706818273819
169,10,14,0.41142144409491865
170,10,15,0.30447540592257094
171,10,16,0.2499939998259522
172,10,17,0.49915255130030034
173,10,26,0.4304874652912793
174,10,27,0.10655874500634273
175,10,28,0.31303518823710597
176,10,29,0.5313320291378357
177,10,30,0.3469357314651077
178,10,31,0.25069140759020575
179,10,34,0.18929784623267099
180,10,36,0.4972443473494324
181,10,37,0.49330722010470135
182,11,3,0.295203259964759
183,11,4,0.14614650528956327
184,11,8,0.3184124080182691
185,11,13,0.4621123391959212
186,11,14,0.43891362570808323
187,11,15,0.2921007858563183
188,11,18,0.04149619271554264
189,11,21,0.4071492940444837
190,11,22,0.48238904939278965
191,11,25,0.4635807924957838
192,11,29,0.4118484156375484
193,11,36,0.46230397148189833
194,11,37,0.25030659283100826
195,11,38,0.2037127523728835
196,12,2,0.19144362483278746
197,12,4,0.06607637776177623
198,12,6,0.40221619792334584
199,12,8,0.4409230104940085
200,12,9,0.49581241643051877
201,12,10,0.42217118666780773
202,12,13,0.32892340089808664
203,12,14,0.44438175573882877
204,12,15,0.42939876022741424
205,12,16,0.35130757447273325
206,12,17,0.19145287474085082
207,12,18,0.12968414230355518
208,12,22,0.22933478446585076
209,12,25,0.23875041175462328
210,12,26,0.48520871120796544
211,12,27,0.3382855286991154
212,12,28,0.2306160159814371
213,12,29,0.44221290959543896
214,12,30,0.0656475705920185
215,12,31,0.13518455482632613
216,12,34,0.33006675437755245
217,12,36,0.3638445338659619
218,12,37,0.49351314294235826
219,13,2,0.43171397059016975
220,13,3,0.33308841801306305
221,13,4,0.4906729722039393
222,13,5,0.35096547440573655
223,13,6,0.34988193132133527
224,13,8,0.40037867442644914
225,13,10,0.2226032259298323
226,13,11,0.3455017743351482
227,13,12,0.1032851200749234
228,13,14,0.5154620810274064
229,13,15,0.4466196777364201
230,13,16,0.05306858034801963
231,13,17,0.5042013542023962
232,13,18,0.4390202142375961
233,13,21,0.2356336352448161
234,13,22,0.3745287183114998
235,13,25,0.10675019227676645
236,13,27,0.4916652432653201
237,13,29,0.052396971032977496
238,13,31,0.4971911489431037
239,13,35,0.5199150650676145
240,13,36,0.14393044748457817
241,13,37,0.2387673277105387
242,14,2,0.3890079049049283
243,14,3,0.134453496261588
244,14,4,0.15939723417860283
245,14,5,0.4056455916798635
246,14,6,0.43110694838470776
247,14,8,0.4845966574542015
248,14,10,0.433060952456645
249,14,11,0.49952555303202906
250,14,12,0.15031428012177409
251,14,13,0.38293572734598624
252,14,15,0.25610728889753837
253,14,16,0.11773713976636846
254,14,17,0.09684285868831785
255,14,18,0.37356199227253
256,14,21,0.23692077311509874
257,14,22,0.37205539306339025
258,14,25,0.44719706272572085
259,14,27,0.4942207403852643
260,14,29,0.38113126077669596
261,14,31,0.36406048819310116
262,14,35,0.35280014381230185
263,14,36,0.48067722304576055
264,14,37,0.3263807771444219
265,15,2,0.3365114597571061
266,15,3,0.3406275794404227
267,15,4,0.47901387064837
268,15,6,0.2744664599449284
269,15,8,0.4659216490693856
270,15,10,0.5126872422694523
271,15,11,0.45141536297312046
272,15,12,0.183825518855204
273,15,13,0.06332205923106028
274,15,14,0.2548213226798538
275,15,16,0.4395408045510845
276,15,18,0.47345635345528436
277,15,21,0.2851337336204348
278,15,22,0.1728350413751016
279,15,25,0.20261293690485374
280,15,27,0.4462897070214255
281,15,28,0.1753882517091602
282,15,29,0.47707722625861104
283,15,31,0.5009060910281495
284,15,36,0.18455366379652327
285,15,37,0.4762674319674022
286,15,38,0.18783768084471106
287,16,2,0.45250471478857224
288,16,3,0.38391245317988487
289,16,4,0.2688464850822194
290,16,5,0.49621824487818317
291,16,6,0.27013919760506655
292,16,8,0.3485900162490458
293,16,9,0.29055948346080773
294,16,10,0.43049586205566476
295,16,12,0.23023960212726333
296,16,13,0.3643605346316241
297,16,14,0.05297385065317861
298,16,15,0.05203574100553952
299,16,17,0.5136454251675657
300,16,18,0.4883685135346927
301,16,22,0.37174654174341887
302,16,24,0.06286163475353639
303,16,25,0.18637127562401798
304,16,27,0.13218677521955158
305,16,29,0.11983164566860038
306,16,31,0.3423109103764371
307,16,34,0.2699343000840289
308,16,35,0.20345207653769135
309,16,36,0.2883757505080832
310,16,37,0.34783898844756567
311,17,2,0.4478381041455506
312,17,4,0.3543485001153091
313,17,5,0.49835036090614654
314,17,6,0.16013870396640803
315,17,8,0.10015813147194891
316,17,9,0.3616553219204683
317,17,10,0.33786546276507146
318,17,12,0.1952576700924385
319,17,13,0.4592183744434046
320,17,14,0.41052227703667865
321,17,16,0.38096685284675824
322,17,18,0.2819584440067457
323,17,22,0.2803740908331243
324,17,24,0.48446141750044985
325,17,25,0.44818476205164937
326,17,32,0.20991680336260787
327,17,34,0.3887851693104148
328,17,35,0.4116747023440481
329,18,2,0.20233481509947185
330,18,3,0.40833874395410324
331,18,4,0.29908437671063065
332,18,5,0.31011456556159356
333,18,6,0.4284909814754076
334,18,8,0.12966520523134584
335,18,11,0.3145422423953412
336,18,12,0.35676916338114856
337,18,13,0.24013001244891208
338,18,14,0.2086012085501074
339,18,15,0.10540147033318906
340,18,16,0.38579939198196334
341,18,17,0.27651649020997554
342,18,21,0.10513268558660191
343,18,22,0.30443608464552246
344,18,25,0.4382646264783933
345,18,27,0.4980160021682956
346,18,29,0.18312693587561368
347,18,31,0.20525917555258424
348,18,33,0.2556371168438787
349,18,35,0.3914488896531089
350,18,36,0.3220866260923322
351,18,37,0.13451062453917903
352,18,38,0.34054627436425405
353,19,3,0.46011011934184454
354,19,5,0.28800251809981375
355,19,7,0.12624566244850594
356,19,20,0.14595350631134638
357,19,23,0.16132692999320966
358,19,24,0.14252765584645594
359,19,25,0.48555148051330255
360,19,33,0.3868471717966626
361,19,40,0.3802934148814459
362,20,5,0.3937077934040018
363,20,7,0.2899758115032401
364,20,19,0.26077441750018626
365,20,23,0.35520327963883164
366,20,24,0.29069135372421095
367,20,35,0.5086457863200412
368,20,40,0.26391074239366685
369,21,3,0.35606508382844954
370,21,4,0.22889468794585296
371,21,11,0.4007410201455535
372,21,13,0.2028883509681462
373,21,14,0.41363390013251533
374,21,15,0.2611774768310103
375,21,18,0.4249185834467257
376,21,22,0.23490265868189805
377,21,25,0.4495669595528757
378,21,33,0.22981949794833237
379,21,36,0.48172963459471346
380,21,38,0.1948882885074433
381,22,2,0.4006348203080964
382,22,3,0.2552208377901706
383,22,4,0.45687970504398584
384,22,5,0.4507045622156973
385,22,6,0.28873533188164907
386,22,8,0.33259541081366695
387,22,11,0.46056905788794106
388,22,12,0.35653423882693386
389,22,13,0.043957161621647034
390,22,14,0.3901241072536428
391,22,15,0.40581761164812885
392,22,16,0.33715249931878916
393,22,17,0.42934371704970337
394,22,18,0.4651430901888496
395,22,21,0.2229331351753523
396,22,25,0.18880075973873658
397,22,29,0.14651100023196184
398,22,33,0.42847239319496183
399,22,36,0.22273920220453927
400,22,37,0.39526160549036193
